Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT4269,981.582456390173,981.582232444406,981.583474953379,3353.20343061765,3347.65989620872,3355.46567345897,7,1,0,6,1,150575323.391394,343669.506291754,3881905.72792965,927791.915559895,184699.878009314,1171338.93511663,450128.74262207,976512.198618162
FT4270,982.201828655278,982.201828655278,982.201828655278,1588.89548396791,1588.89548396791,1588.89548396791,1,1,0,0,1,1124294.32704947,0,0,0,2290.39814137884,20632.3679435542,0,0
FT4271,982.585910720665,982.557553958831,982.58624154111,3352.40370107257,3347.65989620872,3355.46567345897,6,1,0,4,1,90083111.1173792,175403.226117402,2199533.08271482,470955.902210937,151051.944110666,609310.617770566,277557.21097067,495619.423929598
FT4272,983.279610254874,983.279610254874,983.279610254874,119.497184338397,119.497184338397,119.497184338397,1,1,0,0,1,1633420.85963505,6475.06998911516,8929.36516150493,14391.395452959,48350.5585810946,39747.6353267756,73839.3312579084,20735.7616157024
FT4273,983.204661038205,983.204661038205,983.204661038205,1588.89548396791,1588.89548396791,1588.89548396791,1,1,0,0,1,234394.707132902,0,8110.1557778237,0,0,0,0,0
FT4274,983.598233932779,983.59811557662,983.598639106132,3453.29638081623,3438.14372016229,3457.15642486376,4,1,0,2,1,15348157.0307904,136256.29160927,425789.391313477,187941.539940637,79967.8308067626,671871.502431634,46730.7863667967,88850.8367959565
FT4275,983.58898435157,983.588641348778,983.589327354362,3351.56278483384,3347.65989620872,3355.46567345897,2,1,0,1,1,25829616.7247936,35970.2979329366,544167.876635737,131701.322130752,36140.1998146473,120392.852180845,64884.1737322636,122072.61236179
FT4276,984.283017171318,984.283017171318,984.283017171318,119.497184338397,119.497184338397,119.497184338397,1,1,0,0,1,564182.22945173,0,0,6557.51992078166,0,22057.1805078748,16127.5678296074,15288.1582986224
FT4277,984.601738903678,984.601571601848,984.602018553257,3452.880212681,3435.97022530556,3457.15642486376,3,1,0,1,1,8849719.51520676,76548.2361704385,247382.89163612,99328.1756282607,48275.8906991602,341116.198822021,26213.0783945457,45515.2663728462
FT4278,984.591210518315,984.591210518315,984.591210518315,3347.65989620872,3347.65989620872,3347.65989620872,1,1,0,0,1,6039532.85919506,1134.77474396156,0,0,1718.15146461978,4861.64252833405,2587.9573078328,0
FT4279,985.5334595729,985.5334595729,985.5334595729,3120.07010221638,3120.07010221638,3120.07010221638,1,1,0,0,1,208019.797399268,0,0,0,0,0,0,0
FT4280,985.605035759547,985.604949847207,985.605121671887,3444.42521899328,3435.97022530556,3452.880212681,2,1,0,0,1,2173836.0042183,2416.11603926587,40089.7934105573,15792.9476626144,2680.0248451881,53980.5233703968,1148.30860568571,2573.69601800703
FT4281,985.595505316023,985.595505316023,985.595505316023,3347.65989620872,3347.65989620872,3347.65989620872,1,1,0,0,1,428024.234589842,0,0,0,0,0,0,0
FT4282,985.614293066719,985.614293066719,985.614293066719,3590.82812251078,3590.82812251078,3590.82812251078,1,1,0,0,1,2568026.50507811,39441.1217255164,89886.2646987647,29610.4402945441,9085.4574186088,775238.628208439,8065.56845898749,30995.6384981779
FT4283,986.617898461606,986.617898461606,986.617898461606,3594.86812251078,3594.86812251078,3594.86812251078,1,1,0,0,1,1592332.53174717,18651.5442550448,45761.8192830294,13331.416780862,7157.63879730484,439705.447029406,4009.36378100168,15324.0600418407
FT4284,987.54842756968,987.54842756968,987.54842756968,3107.76171372841,3107.76171372841,3107.76171372841,1,1,0,0,1,860587.009960941,0,21509.0060212312,2057.44738869612,1634.59717576051,0,0,0
FT4285,988.596951360755,988.596951360755,988.596951360755,2883.99998980459,2883.99998980459,2883.99998980459,1,1,0,0,1,126893.47824463,0,0,2037.31165996964,0,0,0,0
FT4286,988.7848733008,988.7848733008,988.7848733008,3101.20761869709,3101.20761869709,3101.20761869709,1,1,0,0,1,1062460.745766,1298.31388958499,0,1420.25442389059,0,0,0,0
FT4287,989.323394794758,989.322399015265,989.324092986747,156.051491701007,121.840954764414,230.954440231414,13,1,1,6,1,6836570.49016602,3260006.64203211,2435914.65672363,2040009.55400879,934236.858549538,8199354.48247501,1997096.32208276,1977380.48832223
FT4288,989.323486713838,989.323089188357,989.324104122804,624.601487772231,615.654204390133,643.12606225257,9,1,1,3,1,1684506.21532861,473165.905014388,3033122.53705664,1730449.89207825,1185358.15098135,3172126.53963866,753986.273142146,676839.844745561
FT4289,989.693110707071,989.693110707071,989.693110707071,3039.42307083599,3039.42307083599,3039.42307083599,1,1,0,0,1,132407.559907227,0,0,0,0,0,0,0
FT4290,989.788164524975,989.788164524975,989.788164524975,3101.20761869709,3101.20761869709,3101.20761869709,1,1,0,0,1,677234.765479567,2690.03920505823,4473.99490501808,0,1950.3654717374,0,0,0
FT4291,990.326676018066,990.326503140801,990.327619424781,623.903443459764,620.269893915812,638.33033011237,5,0,0,3,1,1147368.33172196,318658.348125981,1041980.95633209,596986.383376873,370363.238893795,1209858.89644775,242492.395144497,276381.973175309
FT4292,990.326612210356,990.325754936246,990.326876246674,155.504021363919,154.923384779972,156.352480691913,4,1,1,2,1,2568533.67192839,1112971.06410169,863684.216450195,527301.955050148,230978.376431354,2986536.4446375,653669.327951194,204097.365065672
FT4293,990.662058642927,990.662058642927,990.662058642927,2727.8948081992,2727.8948081992,2727.8948081992,1,1,0,0,1,409127.884649967,0,0,0,0,0,0,0
FT4294,991.239454121165,991.239232298206,991.241575682688,1107.45689369514,1105.87440651318,1109.01121457925,7,0,1,6,1,22185.1119820202,645894.117994384,1352411.27869851,1313711.53141781,1826414.50835823,833257.081029111,2226534.13399052,2739090.16029871
FT4295,991.239835032634,991.239476749172,991.23988172043,1005.37958870521,1002.2830739979,1027.50776382089,3,0,1,2,1,103423.826669613,947881.817108835,527227.034664391,545052.135234108,560698.718943328,390442.296450851,962016.485053085,1315454.60728052
FT4296,991.327988303487,991.30274268277,991.328466644285,154.675715644278,113.051257659069,154.923384779972,3,1,1,1,1,491722.318790096,319809.111805618,48404.9962199403,26728.2394295861,6541.74861894552,580966.499354148,26503.9729941009,11086.1221006182
FT4297,991.588590106834,991.588590106834,991.588590106834,3118.38425288632,3118.38425288632,3118.38425288632,1,1,0,0,1,1595065.15658171,3356.68728658496,115870.218028774,19670.0027343537,5925.31000830114,20131.1030299809,19030.1767315246,35450.6798540363
FT4298,991.665623598114,991.665623598114,991.665623598114,2727.8948081992,2727.8948081992,2727.8948081992,1,1,0,0,1,101009.198934935,0,0,0,0,0,0,0
FT4299,991.681689801696,991.681437430746,991.683004673181,2925.1607483918,2924.74610966641,2928.1560437807,7,0,1,6,1,231760.13150718,392908.477451102,302751.678703803,350364.322248388,340812.540111154,254537.869435092,334828.471763305,295241.076606443
FT4300,992.242731851924,992.242707206509,992.243021240076,1108.67737997513,1105.87440651318,1109.01121457925,5,0,0,5,1,6765.37561405578,257652.696655581,568002.95540453,573757.387182451,842016.185664062,322798.605286518,966079.732312825,1258090.153125
FT4301,992.242719165643,992.242658036215,992.243352820228,1005.10756641502,1004.03087613641,1029.56425207809,3,0,1,2,1,53614.9194055706,197733.718344727,285658.224046251,263091.366957232,212985.555092326,196275.949229595,491137.88590515,587217.335122874
FT4302,992.592216751893,992.592216751893,992.592216751893,3118.38425288632,3118.38425288632,3118.38425288632,1,1,0,0,1,789497.213130538,1171.20923516683,52413.7730543127,6110.35795665166,1553.98307540801,3871.75476564395,4726.07567886843,16377.6472191118
FT4303,992.743379280783,992.743379280783,992.743379280783,3002.99643045688,3002.99643045688,3002.99643045688,1,1,0,0,1,367753.668405197,1350.81884078586,5290.36101543081,0,0,0,0,0
FT4304,993.297691557697,993.297422007355,993.311495520717,149.571054500826,139.115394241513,152.302806440184,3,1,0,2,1,214846.727528546,63061.3325384221,183787.879819533,201679.586206979,499465.571537597,224674.106369628,247509.809451005,313397.854752869
FT4305,993.599723438586,993.599723438586,993.599723438586,3120.07010221638,3120.07010221638,3120.07010221638,1,1,0,0,1,223063.010652796,0,0,0,0,0,0,0
FT4306,993.661103135578,993.660805531006,993.746854464949,2968.17847805338,2967.59096877723,3002.99643045688,3,1,1,1,1,262579.415996093,206756.240400016,114321.874160156,218268.787603733,193474.861680236,231897.705273588,239553.191274701,180428.528203463
FT4307,995.561901073761,995.561857942667,995.561944204855,3123.04982653162,3120.07010221638,3126.02955084685,2,1,0,1,1,5566015.98544927,11489.396759735,150250.955885415,42034.5376640938,9853.70464942675,34481.0794398218,14474.7192125848,53373.2621723865
FT4308,996.565448946083,996.565448946083,996.565448946083,3120.07010221638,3120.07010221638,3120.07010221638,1,1,0,0,1,3108395.74192386,2265.50386644607,85639.7355261868,16163.7874154743,0,12453.7794301997,12700.1533728402,25321.0114851221
FT4309,997.577160526907,997.57511896237,997.577731336482,3109.88332407348,3109.80469628721,3160.42176763429,3,1,0,1,1,9597176.6411018,53751.8649997284,1022226.42205123,170937.008337499,49839.9900572547,156333.225518037,75769.7242669073,176777.710937967
FT4310,997.700180621025,997.700180621025,997.700180621025,2977.55151165471,2977.55151165471,2977.55151165471,1,1,0,0,1,2855703.14952133,0,5635.69316220864,0,0,2517.11475410419,0,0
FT4311,998.332131601341,998.332131601341,998.332131601341,115.678358360739,115.678358360739,115.678358360739,1,1,0,0,1,777689.645753954,0,0,0,0,0,0,0
FT4312,998.580554445766,998.580518536381,998.580890134987,3109.88332407348,3109.80469628721,3160.42176763429,3,1,0,1,1,5266479.40622406,27440.4488293288,536374.31794319,99551.2037646394,17140.7306963297,68578.5798479085,37868.0811881507,89816.4481796915
FT4313,998.573414932702,998.573414932702,998.573414932702,3347.65989620872,3347.65989620872,3347.65989620872,1,1,0,0,1,649070.47108823,1341.5276541957,10888.9646308583,3167.59436898868,0,1418.34063026203,1160.88930248248,1250.78314968878
FT4314,998.703536349089,998.703536349089,998.703536349089,2977.55151165471,2977.55151165471,2977.55151165471,1,1,0,0,1,1766848.3220419,0,4589.51058979671,0,0,0,0,1948.91549752123
FT4315,999.31296232528,999.31296232528,999.31296232528,1014.76758116175,1014.76758116175,1014.76758116175,1,0,1,0,1,90808.7487950779,427741.959573363,0,9721.42694182375,0,0,0,0
