"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0512",314002.4462192,69028.5648070813,127964.726077944,67831.7095922212,41994.7926239176,72191.7198388657,30040.3475476049,58430.1860900507
"FT0513",338256.079672415,2673.10311235658,0,0,0,2836.79865306619,3467.94710692249,14553.8062361186
"FT0514",512615.408951249,900.06510845871,0,0,0,0,0,0
"FT0515",112738.510568847,83994.1231041533,82647.9510049861,38239.4814376718,66053.8383664651,63518.8073745775,98934.8873575887,105379.061719288
"FT0516",547524.908522786,1428085.98470225,1144462.80850405,1726584.0509931,1255275.23257275,6749727.11615028,659721.755480739,681604.819600067
"FT0517",330667.37298839,584539.183089846,409028.778334613,255990.002676532,129878.627179167,210684.524052023,139541.695871582,104749.151675218
"FT0518",522822.346680906,0,0,0,0,0,3928.9888879712,0
"FT0519",255906.410756837,126651.940706022,111861.062078246,133854.81867215,214878.073017637,243208.495541966,161759.685925543,162117.235756971
"FT0520",253184.653197756,10819.3654070553,26325.2070231846,7286.35080359213,3971.4440812952,13031.0451479931,862.555212168225,5192.76264011998
"FT0521",2242308.78505859,80221.7928330255,18460.610532065,39116.803054621,299523.627699501,134377.876325473,42446.2973315036,45606.6360619782
"FT0522",556393.580921577,22925.2665705466,132371.092504716,59353.0950992698,28736.3012207193,65597.7496621904,44694.3388149129,75247.8607333006
"FT0523",289054.296457739,42063.7854478226,145578.875463273,117225.23938433,39350.0743034883,73105.039838362,74226.9270805549,64043.5540073646
"FT0524",0,1338921.31712052,2030.47542582164,0,0,0,4432.38045856623,0
"FT0525",116615.913998393,564498.250202402,411252.003033306,337182.873276332,372672.789365746,403168.476699467,347807.921855389,332949.593882517
"FT0526",340455.014512375,4803.50862334175,14524.0601134425,11880.5956134352,2547.7259989514,20263.0931059714,10263.9068522232,4857.39409156103
"FT0527",1338020.71541015,1846.52050106035,0,0,0,0,0,0
"FT0528",0,321150.529772514,3103.95698710056,0,0,0,2033.93635594229,0
"FT0529",363782.498227162,1417097.25476074,1437330.50161836,1265021.91879068,813364.401866333,2226692.33160538,940002.3440054,892520.173696085
"FT0530",1737031.94615233,0,3445.0780166013,0,0,0,0,1237.33494206486
"FT0531",272553.083823056,52977.9272771959,16267.6892794778,2619.54993562898,105952.35770141,50658.7504979944,11080.8861950126,29716.1197837002
"FT0532",238011.258680943,0,0,0,0,0,0,0
"FT0533",158712.431392487,0,0,0,1232.32193572373,1240.57408579442,0,0
"FT0534",430473.551142574,3154.91521291456,20480.0345572403,2899.07713249082,5974.06209439026,13726.4155035086,12427.2822217349,16930.8055156396
"FT0535",35371.3304962818,308928.786362947,830067.227697285,1181505.79427883,1566830.29108931,691518.249325,1757056.17006412,1840067.0751264
"FT0536",1637527.66397043,1674.17666088922,300219.592751117,284482.775130399,371605.714506665,329648.61492316,235407.810671736,253317.170744036
"FT0537",295582.546411132,0,5989.84331053308,1429.4599842738,33629.2359047676,29560.9671301542,43710.2805580818,42661.8543411962
"FT0538",273934.089882988,0,0,0,0,10471.41912802,0,3317.78864215556
"FT0539",454551.136469727,22198.9440910191,103286.199902717,53791.2615530861,36025.6186097011,47640.439340181,58791.855252308,62882.5580760845
"FT0540",256110.591613768,13440.7428458062,15572.3885938192,26305.8967100181,7799.67931465239,4673.27862794135,3985.60786311223,10166.6612361921
"FT0541",120533.699590749,187892.338113617,213515.422656251,277432.077742513,224175.913897619,295003.831868978,216602.044951695,367403.563831203
"FT0542",333183.781037947,12404.8666583045,27391.607117956,5892.26957812751,5011.7236655728,22187.1073047871,33778.3422622514,23303.4972039929
"FT0543",719218.522902414,0,7748.64313878533,3055.983279678,0,3264.9575354041,2938.99113078641,0
"FT0544",2387235.69062116,156904.440746321,128278.93941653,161918.101244209,59403.4646441081,248077.458030874,81810.4926778028,62708.7294940937
"FT0545",2768543.49941844,2768393.60391358,3366638.03654062,3340068.71932221,1438917.37994586,4531185.47159558,186615.741679746,52180.3783375121
"FT0546",35798.3473184984,427160.95254785,188617.91274548,118030.388625946,194146.138505988,165420.532201801,101441.544425515,128414.104734431
"FT0547",18820.1395049886,426048.896000537,233786.565584631,162531.363775222,256331.66957054,231930.234582673,109816.581355442,123426.186204545
"FT0548",153989.564728733,4976.45508360557,23948.0534411909,3273.19644303677,1070.47900626231,8108.71632737715,3453.49516891455,9542.87873508893
"FT0549",4933121.70787498,2207388.36625849,2882845.53457812,2611888.47117966,2875594.70851998,3921906.94461427,2968728.55453725,3282877.82054461
"FT0550",1036541.31934219,177593.115912662,140908.398281249,246787.694797701,238299.416203961,216405.073349608,250216.605903191,547797.284018139
"FT0551",137407.032976685,0,0,0,0,0,0,0
"FT0552",319697.726726624,430137.392470982,601111.741057617,384040.902129791,603578.818784529,380600.541406025,407449.71093443,335384.250274639
"FT0553",456448.345026955,463841.680991364,569303.355817968,562041.824294174,120991.308265625,751499.25220052,32827.6787695513,0
"FT0554",6580177.59145834,0,1363520.18497127,1267182.30415609,1135959.89753357,986815.380294926,820609.661157922,1124451.7602257
"FT0555",1147728.74576902,429995.196511928,779679.11180065,665107.383208982,688240.020223295,1014055.25186016,623055.331910721,926796.305245437
"FT0556",192189.355907165,373722.925381348,292028.378390242,265049.166186524,296587.595520834,459964.114617279,395724.091071289,326770.084723389
